"rules","support","confidence","lift","count"
"{} => {MatigStedelijk_54}",0.827956989247312,0.827956989247312,1,308
"{} => {AantalBioscopenBinnen10Km_232}",0.854838709677419,0.854838709677419,1,318
"{} => {NatuurlijkGrasland_192}",0.881720430107527,0.881720430107527,1,328
"{} => {Marokko_47}",0.887096774193548,0.887096774193548,1,330
"{} => {AantalScholenHavoVwoBinnen5Km_225}",0.889784946236559,0.889784946236559,1,331
"{} => {TuinbouwOpenGrond_189}",0.895161290322581,0.895161290322581,1,333
"{} => {Geiten_178}",0.903225806451613,0.903225806451613,1,336
"{} => {ProvincialeWegen_211}",0.905913978494624,0.905913978494624,1,337
"{} => {Groenvoedergewassen_194}",0.905913978494624,0.905913978494624,1,337
"{} => {VasteMest_199}",0.905913978494624,0.905913978494624,1,337
"{} => {Turkije_50}",0.919354838709677,0.919354838709677,1,342
"{} => {Akkerbouw_188}",0.93010752688172,0.93010752688172,1,346
"{} => {BijstandGerelateerdVanafAOWLeeftijd_161}",0.935483870967742,0.935483870967742,1,348
"{} => {TijdelijkGrasland_193}",0.956989247311828,0.956989247311828,1,356
"{} => {AantalScholenVmboBinnen5Km_223}",0.959677419354839,0.959677419354839,1,357
"{} => {MigratiesaldoRelatief_77}",0.96505376344086,0.96505376344086,1,359
"{} => {WeinigStedelijk_55}",0.96505376344086,0.96505376344086,1,359
"{} => {VoormaligeNederlandseAntillenAruba_48}",0.973118279569892,0.973118279569892,1,362
"{} => {Nieuwbouwwoningen_91}",0.981182795698925,0.981182795698925,1,365
"{} => {DunneMest_198}",0.981182795698925,0.981182795698925,1,365
"{} => {AantalZiekenhuizenBinnen20Km_217}",0.983870967741935,0.983870967741935,1,366
"{} => {Migratiesaldo_76}",0.986559139784946,0.986559139784946,1,367
"{} => {Schapen_177}",0.986559139784946,0.986559139784946,1,367
"{} => {SaldoVermeerderingWoningenRelatief_92}",0.989247311827957,0.989247311827957,1,368
"{} => {GeboorteoverschotRelatief_63}",0.989247311827957,0.989247311827957,1,368
"{} => {EigendomOnbekend_96}",0.989247311827957,0.989247311827957,1,368
"{} => {Suriname_49}",0.989247311827957,0.989247311827957,1,368
"{} => {Marokko_38}",0.989247311827957,0.989247311827957,1,368
"{} => {Rundvee_176}",0.989247311827957,0.989247311827957,1,368
"{} => {Turkije_41}",0.989247311827957,0.989247311827957,1,368
"{} => {BinnenlandsMigratiesaldoRelatief_72}",0.991935483870968,0.991935483870968,1,369
"{} => {Geboorteoverschot_62}",0.991935483870968,0.991935483870968,1,369
"{} => {PaardenEnPonyS_179}",0.991935483870968,0.991935483870968,1,369
"{} => {WaterTotaal_249}",0.991935483870968,0.991935483870968,1,369
"{} => {Binnenwater_250}",0.991935483870968,0.991935483870968,1,369
"{} => {BevolkingsgroeiRelatief_80}",0.994623655913978,0.994623655913978,1,370
"{} => {BinnenlandsMigratiesaldo_71}",0.994623655913978,0.994623655913978,1,370
"{} => {Bevolkingsgroei_79}",0.997311827956989,0.997311827956989,1,371
"{} => {UitwendigeDoodsoorzaken_67}",0.997311827956989,0.997311827956989,1,371
"{} => {NietStedelijk_56}",0.997311827956989,0.997311827956989,1,371
"{} => {KaliUitscheiding_197}",0.997311827956989,0.997311827956989,1,371
"{} => {Fosfaatuitscheiding_196}",0.997311827956989,0.997311827956989,1,371
"{} => {Stikstofuitscheiding_195}",0.997311827956989,0.997311827956989,1,371
"{} => {BlijvendGrasland_191}",0.997311827956989,0.997311827956989,1,371
"{} => {TotaleOppervlakte_187}",0.997311827956989,0.997311827956989,1,371
"{} => {Eenpersoonshuishoudens_144}",1,1,1,372
"{} => {InkomenUitArbeid_149}",1,1,1,372
"{} => {TotaalParticuliereHuishoudens_148}",1,1,1,372
"{} => {Overdrachtsinkomen_151}",1,1,1,372
"{} => {Eenpersoonshuishoudens_152}",1,1,1,372
"{} => {Meerpersoonshuishoudens_145}",1,1,1,372
"{} => {Meerpersoonshuishoudens_153}",1,1,1,372
"{} => {EigenWoning_154}",1,1,1,372
"{} => {EigenWoning_146}",1,1,1,372
"{} => {UitkeringsontvangersTotaal_156}",1,1,1,372
"{} => {ALandbouwBosbouwEnVisserij_169}",1,1,1,372
"{} => {BedrijfsvestigingenTotaal_168}",1,1,1,372
"{} => {AOW_167}",1,1,1,372
"{} => {GIHandelEnHoreca_171}",1,1,1,372
"{} => {WajongUitkering_166}",1,1,1,372
"{} => {HJVervoerInformatieEnCommunicatie_172}",1,1,1,372
"{} => {KLFinancieleDienstenOnroerendGoed_173}",1,1,1,372
"{} => {MNZakelijkeDienstverlening_174}",1,1,1,372
"{} => {RUCultuurRecreatieOverigeDiensten_175}",1,1,1,372
"{} => {WIAUitkeringWGARegeling_165}",1,1,1,372
"{} => {WAOUitkering_164}",1,1,1,372
"{} => {ArbeidsongeschiktheidTotaal_163}",1,1,1,372
"{} => {BijstandTotDeAOWLeeftijd_162}",1,1,1,372
"{} => {BijstandGerelateerdTotAOWLeeftijd_160}",1,1,1,372
"{} => {Werkloosheid_159}",1,1,1,372
"{} => {VanafDeAOWLeeftijd_158}",1,1,1,372
"{} => {TotDeAOWLeeftijd_157}",1,1,1,372
"{} => {BFNijverheidEnEnergie_170}",1,1,1,372
"{} => {PersonenautoS_200}",1,1,1,372
"{} => {AfstandTotSchoolVmbo_222}",1,1,1,372
"{} => {AfstandTotSchoolHavoVwo_224}",1,1,1,372
"{} => {AfstandTotGroteSupermarkt_226}",1,1,1,372
"{} => {AantalGroteSupermarktenBinnen3Km_227}",1,1,1,372
"{} => {AfstandTotRestaurant_228}",1,1,1,372
"{} => {AantalRestaurantsBinnen3Km_229}",1,1,1,372
"{} => {AfstandTotBibliotheek_230}",1,1,1,372
"{} => {AfstandTotBioscoop_231}",1,1,1,372
"{} => {AfstandTotZwembad_233}",1,1,1,372
"{} => {AfstandTotOpritHoofdverkeersweg_236}",1,1,1,372
"{} => {AfstandTotTreinstation_237}",1,1,1,372
"{} => {TotaleOppervlakte_247}",1,1,1,372
"{} => {Land_248}",1,1,1,372
"{} => {Omgevingsadressendichtheid_252}",1,1,1,372
"{} => {Wijken_310}",1,1,1,372
"{} => {Buurten_311}",1,1,1,372
"{} => {AantalBasisonderwijsscholenBinnen3Km_221}",1,1,1,372
"{} => {AfstandTotSchoolBasisonderwijs_220}",1,1,1,372
"{} => {PersonenautoSRelatief_201}",1,1,1,372
"{} => {PersonenautoSParticulieren_202}",1,1,1,372
"{} => {PersonenautoSParticulierenRelatief_203}",1,1,1,372
"{} => {Bedrijfsmotorvoertuigen_204}",1,1,1,372
"{} => {Motorfietsen_205}",1,1,1,372
"{} => {MotorfietsenRelatief_206}",1,1,1,372
"{} => {VoertuigenMetBromfietskenteken_207}",1,1,1,372
"{} => {VoertuigenMetBromfietskenteken_208}",1,1,1,372
"{} => {TotaleWeglengte_209}",1,1,1,372
"{} => {GemeentelijkeEnWaterschapswegen_210}",1,1,1,372
"{} => {AfstandTotHuisartsenpraktijk_213}",1,1,1,372
"{} => {AantalHuisartsenpraktijkenBinnen3Km_214}",1,1,1,372
"{} => {AfstandTotHuisartsenpost_215}",1,1,1,372
"{} => {AfstandTotZiekenhuis_216}",1,1,1,372
"{} => {AfstandTotKinderdagverblijf_218}",1,1,1,372
"{} => {AantalKinderdagverblijvenBinnen3Km_219}",1,1,1,372
"{} => {Overdrachtsinkomen_143}",1,1,1,372
"{} => {InkomenUitArbeid_141}",1,1,1,372
"{} => {TotaalParticuliereHuishoudens_140}",1,1,1,372
"{} => {Gehuwd_26}",1,1,1,372
"{} => {Gescheiden_27}",1,1,1,372
"{} => {Verweduwd_28}",1,1,1,372
"{} => {Inwoners15JaarOfOuder_29}",1,1,1,372
"{} => {Ongehuwd_30}",1,1,1,372
"{} => {Gehuwd_31}",1,1,1,372
"{} => {Gescheiden_32}",1,1,1,372
"{} => {Verweduwd_33}",1,1,1,372
"{} => {NederlandseAchtergrond_34}",1,1,1,372
"{} => {TotaalMetMigratieachtergrond_35}",1,1,1,372
"{} => {WesterseMigratieachtergrond_36}",1,1,1,372
