"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3"
"0";"GM1680    ";"GM1680    ";"Aa en Hunze                                       ";"Aa en Hunze                                       "
"1";"GM0738    ";"GM0738    ";"Aalburg                                           ";"Aalburg                                           "
"2";"GM0358    ";"GM0358    ";"Aalsmeer                                          ";"Aalsmeer                                          "
"3";"GM0197    ";"GM0197    ";"Aalten                                            ";"Aalten                                            "
"4";"GM0059    ";"GM0059    ";"Achtkarspelen                                     ";"Achtkarspelen                                     "
"5";"GM0482    ";"GM0482    ";"Alblasserdam                                      ";"Alblasserdam                                      "
"6";"GM0613    ";"GM0613    ";"Albrandswaard                                     ";"Albrandswaard                                     "
"7";"GM0361    ";"GM0361    ";"Alkmaar                                           ";"Alkmaar                                           "
"8";"GM0141    ";"GM0141    ";"Almelo                                            ";"Almelo                                            "
"9";"GM0034    ";"GM0034    ";"Almere                                            ";"Almere                                            "
"10";"GM0484    ";"GM0484    ";"Alphen aan den Rijn                               ";"Alphen aan den Rijn                               "
"11";"GM1723    ";"GM1723    ";"Alphen-Chaam                                      ";"Alphen+Chaam                                      "
"12";"GM0060    ";"GM0060    ";"Ameland                                           ";"Ameland                                           "
"13";"GM0307    ";"GM0307    ";"Amersfoort                                        ";"Amersfoort                                        "
"14";"GM0362    ";"GM0362    ";"Amstelveen                                        ";"Amstelveen                                        "
"15";"GM0363    ";"GM0363    ";"Amsterdam                                         ";"Amsterdam                                         "
"16";"GM0200    ";"GM0200    ";"Apeldoorn                                         ";"Apeldoorn                                         "
"17";"GM0003    ";"GM0003    ";"Appingedam                                        ";"Appingedam                                        "
"18";"GM0202    ";"GM0202    ";"Arnhem                                            ";"Arnhem                                            "
"19";"GM0106    ";"GM0106    ";"Assen                                             ";"Assen                                             "
"20";"GM0743    ";"GM0743    ";"Asten                                             ";"Asten                                             "
"21";"GM0744    ";"GM0744    ";"Baarle-Nassau                                     ";"Baarle+Nassau                                     "
"22";"GM0308    ";"GM0308    ";"Baarn                                             ";"Baarn                                             "
"23";"GM0489    ";"GM0489    ";"Barendrecht                                       ";"Barendrecht                                       "
"24";"GM0203    ";"GM0203    ";"Barneveld                                         ";"Barneveld                                         "
"25";"GM0005    ";"GM0005    ";"Bedum                                             ";"Bedum                                             "
"26";"GM0888    ";"GM0888    ";"Beek                                              ";"Beek                                              "
"27";"GM0370    ";"GM0370    ";"Beemster                                          ";"Beemster                                          "
"28";"GM0889    ";"GM0889    ";"Beesel                                            ";"Beesel                                            "
"29";"GM0007    ";"GM0007    ";"Bellingwedde                                      ";"Bellingwedde                                      "
"30";"GM1724    ";"GM1724    ";"Bergeijk                                          ";"Bergeijk                                          "
"31";"GM0893    ";"GM0893    ";"Bergen (L.)                                       ";"Bergen (L.)                                       "
"32";"GM0373    ";"GM0373    ";"Bergen (NH.)                                      ";"Bergen (NH.)                                      "
"33";"GM0748    ";"GM0748    ";"Bergen op Zoom                                    ";"Bergen op Zoom                                    "
"34";"GM1859    ";"GM1859    ";"Berkelland                                        ";"Berkelland                                        "
"35";"GM1721    ";"GM1721    ";"Bernheze                                          ";"Bernheze                                          "
"36";"GM0753    ";"GM0753    ";"Best                                              ";"Best                                              "
"37";"GM0209    ";"GM0209    ";"Beuningen                                         ";"Beuningen                                         "
"38";"GM0375    ";"GM0375    ";"Beverwijk                                         ";"Beverwijk                                         "
"39";"GM0063    ";"GM0063    ";"het Bildt                                         ";"Bildt het                                         "
"40";"GM0310    ";"GM0310    ";"De Bilt                                           ";"Bilt De                                           "
"41";"GM0585    ";"GM0585    ";"Binnenmaas                                        ";"Binnenmaas                                        "
"42";"GM1728    ";"GM1728    ";"Bladel                                            ";"Bladel                                            "
"43";"GM0376    ";"GM0376    ";"Blaricum                                          ";"Blaricum                                          "
"44";"GM0377    ";"GM0377    ";"Bloemendaal                                       ";"Bloemendaal                                       "
"45";"GM1901    ";"GM1901    ";"Bodegraven-Reeuwijk                               ";"Bodegraven+Reeuwijk                               "
"46";"GM0755    ";"GM0755    ";"Boekel                                            ";"Boekel                                            "
"47";"GM0009    ";"GM0009    ";"Ten Boer                                          ";"Boer Ten                                          "
"48";"GM1681    ";"GM1681    ";"Borger-Odoorn                                     ";"Borger+Odoorn                                     "
"49";"GM0147    ";"GM0147    ";"Borne                                             ";"Borne                                             "
"50";"GM0654    ";"GM0654    ";"Borsele                                           ";"Borsele                                           "
"51";"GM0756    ";"GM0756    ";"Boxmeer                                           ";"Boxmeer                                           "
"52";"GM0757    ";"GM0757    ";"Boxtel                                            ";"Boxtel                                            "
"53";"GM0758    ";"GM0758    ";"Breda                                             ";"Breda                                             "
"54";"GM0501    ";"GM0501    ";"Brielle                                           ";"Brielle                                           "
"55";"GM1876    ";"GM1876    ";"Bronckhorst                                       ";"Bronckhorst                                       "
"56";"GM0213    ";"GM0213    ";"Brummen                                           ";"Brummen                                           "
"57";"GM0899    ";"GM0899    ";"Brunssum                                          ";"Brunssum                                          "
"58";"GM0312    ";"GM0312    ";"Bunnik                                            ";"Bunnik                                            "
"59";"GM0313    ";"GM0313    ";"Bunschoten                                        ";"Bunschoten                                        "
"60";"GM0214    ";"GM0214    ";"Buren                                             ";"Buren                                             "
"61";"GM0381    ";"GM0381    ";"Bussum                                            ";"Bussum                                            "
"62";"GM0502    ";"GM0502    ";"Capelle aan den IJssel                            ";"Capelle aan den IJssel                            "
"63";"GM0383    ";"GM0383    ";"Castricum                                         ";"Castricum                                         "
"64";"GM0109    ";"GM0109    ";"Coevorden                                         ";"Coevorden                                         "
"65";"GM1706    ";"GM1706    ";"Cranendonck                                       ";"Cranendonck                                       "
"66";"GM0611    ";"GM0611    ";"Cromstrijen                                       ";"Cromstrijen                                       "
"67";"GM1684    ";"GM1684    ";"Cuijk                                             ";"Cuijk                                             "
"68";"GM0216    ";"GM0216    ";"Culemborg                                         ";"Culemborg                                         "
"69";"GM0148    ";"GM0148    ";"Dalfsen                                           ";"Dalfsen                                           "
"70";"GM1891    ";"GM1891    ";"Dantumadiel                                       ";"Dantumadiel                                       "
"71";"GM0503    ";"GM0503    ";"Delft                                             ";"Delft                                             "
"72";"GM0010    ";"GM0010    ";"Delfzijl                                          ";"Delfzijl                                          "
"73";"GM0762    ";"GM0762    ";"Deurne                                            ";"Deurne                                            "
"74";"GM0150    ";"GM0150    ";"Deventer                                          ";"Deventer                                          "
"75";"GM0384    ";"GM0384    ";"Diemen                                            ";"Diemen                                            "
"76";"GM1774    ";"GM1774    ";"Dinkelland                                        ";"Dinkelland                                        "
"77";"GM0221    ";"GM0221    ";"Doesburg                                          ";"Doesburg                                          "
"78";"GM0222    ";"GM0222    ";"Doetinchem                                        ";"Doetinchem                                        "
"79";"GM0766    ";"GM0766    ";"Dongen                                            ";"Dongen                                            "
"80";"GM0058    ";"GM0058    ";"Dongeradeel                                       ";"Dongeradeel                                       "
"81";"GM0505    ";"GM0505    ";"Dordrecht                                         ";"Dordrecht                                         "
"82";"GM0498    ";"GM0498    ";"Drechterland                                      ";"Drechterland                                      "
"83";"GM1719    ";"GM1719    ";"Drimmelen                                         ";"Drimmelen                                         "
"84";"GM0303    ";"GM0303    ";"Dronten                                           ";"Dronten                                           "
"85";"GM0225    ";"GM0225    ";"Druten                                            ";"Druten                                            "
"86";"GM0226    ";"GM0226    ";"Duiven                                            ";"Duiven                                            "
"87";"GM1711    ";"GM1711    ";"Echt-Susteren                                     ";"Echt+Susteren                                     "
"88";"GM0385    ";"GM0385    ";"Edam-Volendam                                     ";"Edam+Volendam                                     "
"89";"GM0228    ";"GM0228    ";"Ede                                               ";"Ede                                               "
"90";"GM0317    ";"GM0317    ";"Eemnes                                            ";"Eemnes                                            "
"91";"GM1651    ";"GM1651    ";"Eemsmond                                          ";"Eemsmond                                          "
"92";"GM0770    ";"GM0770    ";"Eersel                                            ";"Eersel                                            "
"93";"GM1903    ";"GM1903    ";"Eijsden-Margraten                                 ";"Eijsden+Margraten                                 "
"94";"GM0772    ";"GM0772    ";"Eindhoven                                         ";"Eindhoven                                         "
"95";"GM0230    ";"GM0230    ";"Elburg                                            ";"Elburg                                            "
"96";"GM0114    ";"GM0114    ";"Emmen                                             ";"Emmen                                             "
"97";"GM0388    ";"GM0388    ";"Enkhuizen                                         ";"Enkhuizen                                         "
"98";"GM0153    ";"GM0153    ";"Enschede                                          ";"Enschede                                          "
"99";"GM0232    ";"GM0232    ";"Epe                                               ";"Epe                                               "
"100";"GM0233    ";"GM0233    ";"Ermelo                                            ";"Ermelo                                            "
"101";"GM0777    ";"GM0777    ";"Etten-Leur                                        ";"Etten+Leur                                        "
"102";"GM1722    ";"GM1722    ";"Ferwerderadiel                                    ";"Ferwerderadiel                                    "
"103";"GM0070    ";"GM0070    ";"Franekeradeel                                     ";"Franekeradeel                                     "
"104";"GM1921    ";"GM1921    ";"De Friese Meren                                   ";"Friese+Meren                                      "
"105";"GM0779    ";"GM0779    ";"Geertruidenberg                                   ";"Geertruidenberg                                   "
"106";"GM0236    ";"GM0236    ";"Geldermalsen                                      ";"Geldermalsen                                      "
"107";"GM1771    ";"GM1771    ";"Geldrop-Mierlo                                    ";"Geldrop+Mierlo                                    "
"108";"GM1652    ";"GM1652    ";"Gemert-Bakel                                      ";"Gemert+Bakel                                      "
"109";"GM0907    ";"GM0907    ";"Gennep                                            ";"Gennep                                            "
"110";"GM0689    ";"GM0689    ";"Giessenlanden                                     ";"Giessenlanden                                     "
"111";"GM0784    ";"GM0784    ";"Gilze en Rijen                                    ";"Gilze en Rijen                                    "
"112";"GM1924    ";"GM1924    ";"Goeree-Overflakkee                                ";"Goeree+Overflakkee                                "
"113";"GM0664    ";"GM0664    ";"Goes                                              ";"Goes                                              "
"114";"GM0785    ";"GM0785    ";"Goirle                                            ";"Goirle                                            "
"115";"GM0512    ";"GM0512    ";"Gorinchem                                         ";"Gorinchem                                         "
"116";"GM0513    ";"GM0513    ";"Gouda                                             ";"Gouda                                             "
"117";"GM0786    ";"GM0786    ";"Grave                                             ";"Grave                                             "
"118";"GM0518    ";"GM0518    ";"'s-Gravenhage                                     ";"Gravenhage 's-                                    "
"119";"GM0241    ";"GM0241    ";"Groesbeek                                         ";"Groesbeek                                         "
"120";"GM0014    ";"GM0014    ";"Groningen                                         ";"Groningen                                         "
"121";"GM0015    ";"GM0015    ";"Grootegast                                        ";"Grootegast                                        "
"122";"GM1729    ";"GM1729    ";"Gulpen-Wittem                                     ";"Gulpen+Wittem                                     "
"123";"GM0158    ";"GM0158    ";"Haaksbergen                                       ";"Haaksbergen                                       "
"124";"GM0788    ";"GM0788    ";"Haaren                                            ";"Haaren                                            "
"125";"GM0392    ";"GM0392    ";"Haarlem                                           ";"Haarlem                                           "
"126";"GM0393    ";"GM0393    ";"Haarlemmerliede en Spaarnwoude                    ";"Haarlemmerliede en Spaarnwoude                    "
"127";"GM0394    ";"GM0394    ";"Haarlemmermeer                                    ";"Haarlemmermeer                                    "
"128";"GM1655    ";"GM1655    ";"Halderberge                                       ";"Halderberge                                       "
"129";"GM0160    ";"GM0160    ";"Hardenberg                                        ";"Hardenberg                                        "
"130";"GM0243    ";"GM0243    ";"Harderwijk                                        ";"Harderwijk                                        "
"131";"GM0523    ";"GM0523    ";"Hardinxveld-Giessendam                            ";"Hardinxveld+Giessendam                            "
"132";"GM0017    ";"GM0017    ";"Haren                                             ";"Haren                                             "
"133";"GM0072    ";"GM0072    ";"Harlingen                                         ";"Harlingen                                         "
"134";"GM0244    ";"GM0244    ";"Hattem                                            ";"Hattem                                            "
"135";"GM0396    ";"GM0396    ";"Heemskerk                                         ";"Heemskerk                                         "
"136";"GM0397    ";"GM0397    ";"Heemstede                                         ";"Heemstede                                         "
"137";"GM0246    ";"GM0246    ";"Heerde                                            ";"Heerde                                            "
"138";"GM0074    ";"GM0074    ";"Heerenveen                                        ";"Heerenveen                                        "
"139";"GM0398    ";"GM0398    ";"Heerhugowaard                                     ";"Heerhugowaard                                     "
"140";"GM0917    ";"GM0917    ";"Heerlen                                           ";"Heerlen                                           "
"141";"GM1658    ";"GM1658    ";"Heeze-Leende                                      ";"Heeze+Leende                                      "
"142";"GM0399    ";"GM0399    ";"Heiloo                                            ";"Heiloo                                            "
"143";"GM0400    ";"GM0400    ";"Den Helder                                        ";"Helder Den                                        "
"144";"GM0163    ";"GM0163    ";"Hellendoorn                                       ";"Hellendoorn                                       "
