"ID";"SoortMisdrijf";"RegioS";"Perioden";"TotaalGeregistreerdeMisdrijven_1";"GeregistreerdeMisdrijvenPer1000Inw_3"
"157";"0000000";"GM1680";"2015JJ00";"     645";"    25.6"
"165";"0000000";"GM0738";"2015JJ00";"     385";"    29.6"
"173";"0000000";"GM0358";"2015JJ00";"    1100";"    35.4"
"181";"0000000";"GM0197";"2015JJ00";"     615";"    22.9"
"189";"0000000";"GM0305";"2015JJ00";"";""
"197";"0000000";"GM0059";"2015JJ00";"     735";"    26.2"
"205";"0000000";"GM0482";"2015JJ00";"     840";"    42.3"
"213";"0000000";"GM0613";"2015JJ00";"    1120";"    44.6"
"221";"0000000";"GM0361";"2015JJ00";"    7525";"    70.2"
"229";"0000000";"GM0141";"2015JJ00";"    4120";"    57.0"
"237";"0000000";"GM0034";"2015JJ00";"   11915";"    60.5"
"245";"0000000";"GM0484";"2015JJ00";"    4480";"    41.7"
"253";"0000000";"GM1723";"2015JJ00";"     435";"    44.4"
"261";"0000000";"GM0060";"2015JJ00";"     135";"    37.0"
"269";"0000000";"GM0307";"2015JJ00";"    8925";"    58.5"
"277";"0000000";"GM0362";"2015JJ00";"    4360";"    50.0"
"285";"0000000";"GM0363";"2015JJ00";"   96185";"   117.1"
"293";"0000000";"GM0364";"2015JJ00";"";""
"301";"0000000";"GM0366";"2015JJ00";"";""
"309";"0000000";"GM0200";"2015JJ00";"    8915";"    56.4"
"317";"0000000";"GM0003";"2015JJ00";"     445";"    37.0"
"325";"0000000";"GM0202";"2015JJ00";"   12620";"    82.9"
"333";"0000000";"GM0106";"2015JJ00";"    3840";"    57.2"
"341";"0000000";"GM0743";"2015JJ00";"     860";"    51.9"
"349";"0000000";"GM0744";"2015JJ00";"     315";"    48.0"
"357";"0000000";"GM0308";"2015JJ00";"    1245";"    51.1"
"365";"0000000";"GM0489";"2015JJ00";"    1965";"    41.4"
"373";"0000000";"GM0203";"2015JJ00";"    2170";"    39.7"
"381";"0000000";"GM0005";"2015JJ00";"     255";"    24.6"
"389";"0000000";"GM0888";"2015JJ00";"    1090";"    67.2"
"397";"0000000";"GM0370";"2015JJ00";"     255";"    28.9"
"405";"0000000";"GM0889";"2015JJ00";"     435";"    32.2"
"413";"0000000";"GM0007";"2015JJ00";"     220";"    23.8"
"421";"0000000";"GM1945";"2015JJ00";"";""
"429";"0000000";"GM0491";"2015JJ00";"";""
"437";"0000000";"GM1724";"2015JJ00";"     640";"    35.2"
"445";"0000000";"GM0893";"2015JJ00";"     465";"    35.3"
"453";"0000000";"GM0373";"2015JJ00";"    1265";"    42.2"
"461";"0000000";"GM0748";"2015JJ00";"    4135";"    62.3"
"469";"0000000";"GM1859";"2015JJ00";"    1185";"    26.7"
"477";"0000000";"GM1721";"2015JJ00";"    1165";"    39.3"
"485";"0000000";"GM0568";"2015JJ00";"";""
"493";"0000000";"GM0753";"2015JJ00";"    1440";"    50.1"
"501";"0000000";"GM0209";"2015JJ00";"     910";"    36.1"
"509";"0000000";"GM0375";"2015JJ00";"    2690";"    66.9"
"517";"0000000";"GM0063";"2015JJ00";"     245";"    23.3"
"525";"0000000";"GM0310";"2015JJ00";"    1885";"    44.7"
"533";"0000000";"GM0585";"2015JJ00";"     840";"    29.3"
"541";"0000000";"GM1728";"2015JJ00";"     875";"    44.1"
"549";"0000000";"GM0376";"2015JJ00";"     475";"    50.9"
"557";"0000000";"GM0377";"2015JJ00";"    1180";"    53.0"
"565";"0000000";"GM0055";"2015JJ00";"";""
"573";"0000000";"GM0497";"2015JJ00";"";""
"581";"0000000";"GM1901";"2015JJ00";"    1315";"    39.6"
"589";"0000000";"GM0755";"2015JJ00";"     300";"    29.4"
"597";"0000000";"GM0009";"2015JJ00";"     140";"    18.5"
"605";"0000000";"GM0064";"2015JJ00";"";""
"613";"0000000";"GM1681";"2015JJ00";"     705";"    27.6"
"621";"0000000";"GM0147";"2015JJ00";"     715";"    32.5"
"629";"0000000";"GM0654";"2015JJ00";"     560";"    24.8"
"637";"0000000";"GM0499";"2015JJ00";"";""
"645";"0000000";"GM0756";"2015JJ00";"    1155";"    40.8"
"653";"0000000";"GM0757";"2015JJ00";"    1500";"    49.4"
"661";"0000000";"GM0758";"2015JJ00";"   13540";"    74.8"
"669";"0000000";"GM0311";"2015JJ00";"";""
"677";"0000000";"GM0501";"2015JJ00";"     880";"    53.4"
"685";"0000000";"GM1876";"2015JJ00";"     805";"    21.9"
"693";"0000000";"GM0213";"2015JJ00";"     745";"    35.6"
"701";"0000000";"GM0899";"2015JJ00";"    1865";"    65.0"
"709";"0000000";"GM0312";"2015JJ00";"     680";"    46.2"
"717";"0000000";"GM0313";"2015JJ00";"     760";"    36.7"
"725";"0000000";"GM0214";"2015JJ00";"     715";"    27.3"
"733";"0000000";"GM0381";"2015JJ00";"    1795";"    54.5"
"741";"0000000";"GM0502";"2015JJ00";"    3650";"    54.9"
"749";"0000000";"GM0383";"2015JJ00";"    1405";"    40.8"
"757";"0000000";"GM0109";"2015JJ00";"    1430";"    40.2"
"765";"0000000";"GM1706";"2015JJ00";"     860";"    41.8"
"773";"0000000";"GM0611";"2015JJ00";"     415";"    32.4"
"781";"0000000";"GM1684";"2015JJ00";"    1060";"    43.1"
"789";"0000000";"GM0216";"2015JJ00";"    1610";"    58.4"
"797";"0000000";"GM0148";"2015JJ00";"     530";"    19.2"
"805";"0000000";"GM1891";"2015JJ00";"     420";"    22.0"
"813";"0000000";"GM0503";"2015JJ00";"    6665";"    66.0"
"821";"0000000";"GM0010";"2015JJ00";"    1015";"    39.9"
"829";"0000000";"GM0762";"2015JJ00";"    1480";"    46.6"
"837";"0000000";"GM0150";"2015JJ00";"    5620";"    57.0"
"845";"0000000";"GM0384";"2015JJ00";"    1755";"    65.8"
"853";"0000000";"GM1774";"2015JJ00";"     560";"    21.6"
"861";"0000000";"GM0504";"2015JJ00";"";""
"869";"0000000";"GM0221";"2015JJ00";"     550";"    48.3"
"877";"0000000";"GM0222";"2015JJ00";"    2610";"    46.2"
"885";"0000000";"GM0766";"2015JJ00";"    1085";"    42.7"
"893";"0000000";"GM0058";"2015JJ00";"     585";"    24.4"
"901";"0000000";"GM0505";"2015JJ00";"    8080";"    68.0"
"909";"0000000";"GM0498";"2015JJ00";"     635";"    32.8"
"917";"0000000";"GM1719";"2015JJ00";"     960";"    35.9"
"925";"0000000";"GM0303";"2015JJ00";"    1805";"    44.7"
"933";"0000000";"GM0225";"2015JJ00";"     610";"    33.3"
"941";"0000000";"GM0226";"2015JJ00";"     940";"    36.8"
"949";"0000000";"GM1711";"2015JJ00";"    1450";"    45.3"
"957";"0000000";"GM0385";"2015JJ00";"     825";"    28.4"
"965";"0000000";"GM0228";"2015JJ00";"    4920";"    44.1"
"973";"0000000";"GM0317";"2015JJ00";"     340";"    38.4"
