GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
M; 0 t/m  4 jaar;AA EN HUNZE;515;466.69;737763.34;49488.17;0.00;26223.87;13459.45;411.19;36680.53;9075.47;10371.21;15502.61;16366.55;101.00;9851.13;0.00;0.00;0.00;0.00;375.97;28.35;0.00;0.00;113.35
M; 5 t/m  9 jaar;AA EN HUNZE;624;623.12;270969.94;53776.19;0.00;36580.00;11598.27;242.85;32393.13;40328.81;61050.51;20721.40;20511.51;2452.03;2438.50;0.00;0.00;0.00;0.00;986.62;36.00;0.00;13868.30;6670.84
M;10 t/m 14 jaar;AA EN HUNZE;787;784.35;266031.22;42555.07;0.00;45592.25;11199.42;273.70;32582.84;21604.52;87467.92;28346.48;6394.91;0.00;6610.22;0.00;0.00;0.00;0.00;1312.83;46.35;0.00;0.00;571.04
M;15 t/m 19 jaar;AA EN HUNZE;810;802.11;193920.44;42693.33;55853.65;46093.75;12867.89;430.74;35661.95;10209.78;76029.27;18880.03;3080.56;0.00;5673.39;0.00;0.00;2048.01;0.00;3080.94;31.05;0.00;0.00;14055.31
M;20 t/m 24 jaar;AA EN HUNZE;554;536.92;183443.33;33498.80;76960.74;30561.97;9718.50;449.23;23713.30;14529.06;5290.64;3345.75;5370.95;0.00;4242.66;0.00;0.00;5286.21;0.00;1238.94;25.20;0.00;0.00;45.16
M;25 t/m 29 jaar;AA EN HUNZE;447;443.74;221949.49;24226.43;52230.62;25451.95;7225.60;627.68;19102.68;2097.49;229.17;1914.68;570.02;0.00;7094.57;0.00;0.00;3981.66;0.00;214.34;13.95;0.00;0.00;886.04
M;30 t/m 34 jaar;AA EN HUNZE;443;436.99;176212.28;25948.52;86740.53;24337.50;8140.64;583.69;19972.99;15818.68;2156.97;3759.75;356.00;2308.38;3401.54;0.00;0.00;3735.02;0.00;0.00;31.05;0.00;568.58;4613.56
M;35 t/m 39 jaar;AA EN HUNZE;540;538.30;239112.41;46065.82;86594.87;30948.79;11049.91;983.01;22805.00;11618.33;2687.97;1824.24;524.15;1209.96;3029.10;0.00;0.00;6562.07;0.00;407.66;32.40;0.00;819.96;8429.18
M;40 t/m 44 jaar;AA EN HUNZE;735;731.12;458343.33;65994.82;125815.63;42017.84;16842.80;2410.04;32162.61;19676.94;12636.33;5081.81;626.00;0.00;8544.35;0.00;0.00;9631.49;0.00;2881.95;46.35;0.00;277.20;860.44
M;45 t/m 49 jaar;AA EN HUNZE;1006;1002.60;793248.06;124995.88;307825.05;56862.89;25092.51;11196.33;44748.62;43424.47;8515.82;10416.77;2045.43;969.41;23724.09;0.00;0.00;9722.92;0.00;921.57;55.80;0.00;996.32;9275.55
M;50 t/m 54 jaar;AA EN HUNZE;1055;1051.16;977727.03;256787.18;80100.94;59767.00;28016.96;13449.84;42902.83;68841.89;11086.21;13732.90;1261.70;10894.12;31168.24;0.00;0.00;7538.02;0.00;16445.58;71.55;0.00;48275.54;9750.04
M;55 t/m 59 jaar;AA EN HUNZE;1110;1099.25;1239822.17;245175.53;66661.00;62304.00;35457.37;30662.82;52443.30;114471.40;20477.69;16732.02;2271.74;2237.13;52008.80;0.00;0.00;4788.02;0.00;7925.70;39.60;0.00;27894.88;7992.83
